Algorithm,n,Time,Memory
loop_sum,100,9.17911529541016e-06,68.75571828125
loop_geom_mean,100,0.0001220703125,62.349549843750000
vectorized_geom_mean,100,0.0001360177993774410,61.620459062500000
matrix_multiplication,100,9.90629196166992e-05,58.8351684375
matrix_inversion,100,0.014390945434570300,53.543116250000000
linear_regression_package,100,0.007128000259399410,60.170469531250000
linear_regression_base,100,0.015906572341918900,60.293350000000000
bootstrap_package,100,0.06184697151184080,66.68313437500000
bootstrap_base,100,0.004704594612121580,66.00319578125
svm_package,100,0.001539468765258790,67.96928328125
svm_base,100,0.01654052734375,65.53625000000000
Metropolis_Hastings,100,0.03484296798706060,65.94585156250000
MCMC_stan,100,0.17697012424469000,70.89383843750000
loop_sum,1000,3.814697265625e-05,62.66084703125000
loop_geom_mean,1000,0.0005356073379516600,51.83917375
vectorized_geom_mean,1000,0.00014293193817138700,51.871941875000000
matrix_multiplication,1000,0.00034248828887939500,51.273923593750000
matrix_inversion,1000,0.012436985969543500,53.02701828125
linear_regression_package,1000,0.02013087272644040,60.973288593750000
linear_regression_base,1000,0.08828151226043700,59.900132500000000
bootstrap_package,1000,0.15997803211212200,102.01536515625000
bootstrap_base,1000,0.012883901596069300,99.39391515625
svm_package,1000,0.0033905506134033200,87.1468284375
svm_base,1000,0.05562865734100340,66.80601484375
Metropolis_Hastings,1000,0.13455140590667700,68.7311421875
MCMC_stan,1000,0.20527100563049300,70.60711734375
loop_sum,10000,0.00030350685119628900,70.97575875000000
loop_geom_mean,10000,0.004514575004577640,65.38060140625000
vectorized_geom_mean,10000,0.00020694732666015600,52.73210515625
matrix_multiplication,10000,0.012092947959899900,55.50101171875
matrix_inversion,10000,0.025199413299560500,57.13941796875
linear_regression_package,10000,0.03799796104431150,70.60711734375
linear_regression_base,10000,0.10443508625030500,70.32039625
bootstrap_package,10000,0.6317578554153440,229.7700925
bootstrap_base,10000,0.05429506301879880,226.19017484375000
svm_package,10000,0.0027071237564086900,67.2401925
svm_base,10000,0.18061935901641800,63.037680468750000
Metropolis_Hastings,10000,0.6612170934677120,64.79896718750000
MCMC_stan,10000,0.3327230215072630,66.78963078125000
loop_sum,100000,0.002785921096801760,77.7751446875
loop_geom_mean,100000,0.042649030685424800,78.42231515625000
vectorized_geom_mean,100000,0.0005135536193847660,78.88106890625000
matrix_multiplication,100000,0.02490842342376710,88.46574546875
matrix_inversion,100000,0.045243024826049800,92.48803281250000
linear_regression_package,100000,0.2654465436935430,135.56992515625
linear_regression_base,100000,0.09314596652984620,144.41731890625000
bootstrap_package,100000,6.397711873054500,1638.84042765625
bootstrap_base,100000,1.339042067527770,1551.0464287500000
svm_package,100000,0.004871964454650880,63.36536171875
svm_base,100000,0.5939575433731080,63.406321875
Metropolis_Hastings,100000,2.246481418609620,69.72237796875000
MCMC_stan,100000,1.234689474105840,77.7751446875
loop_sum,1000000,0.029984116554260300,85.8361034375
loop_geom_mean,1000000,0.42804527282714800,93.84791000000000
vectorized_geom_mean,1000000,0.003841876983642580,104.56308687500000
matrix_multiplication,1000000,0.09353995323181150,137.79815765625
matrix_inversion,1000000,0.09230542182922360,150.82348734375
linear_regression_package,1000000,0.28888702392578100,414.72158203125
linear_regression_base,1000000,0.07844913005828860,506.824589375
bootstrap_package,1000000,137.82801246643100,3920.02621765625
bootstrap_base,1000000,54.08174753189090,4137.63114375
svm_package,1000000,0.08351647853851320,32.57970828125
svm_base,1000000,2.05379056930542,32.64524453125
Metropolis_Hastings,1000000,42.89085495471950,57.630939843750000
MCMC_stan,1000000,10.98192846775060,85.2790453125
